order_id,return_probability,risk_score,top_risk_drivers,risk_reducing_factors
O06987,0.377047,37.7,Discount percentage increased predicted risk | Recent purchase frequency increased predicted risk | Order value vs customer average increased predicted risk | Account age increased predicted risk | City tier increased predicted risk,Recent average order value reduced predicted risk | Discount behaviour change reduced predicted risk | Size Variant reduced predicted risk | Orders Considered Last 5 reduced predicted risk | Days since previous order reduced predicted risk
O19724,0.288939,28.89,Historical product return rate increased predicted risk | Previous Avg Discount increased predicted risk | Recent average order value increased predicted risk | Order value increased predicted risk | Size Variant increased predicted risk,Recent order-value change reduced predicted risk | Account age reduced predicted risk | Product price reduced predicted risk | Discount percentage reduced predicted risk | Order value vs customer average reduced predicted risk
O00738,0.433077,43.31,Historical product return rate increased predicted risk | Product price increased predicted risk | Discount percentage increased predicted risk | Account age increased predicted risk | Discount behaviour change increased predicted risk,Previous average order value reduced predicted risk | 5-order value change reduced predicted risk | Recent average order value reduced predicted risk | Days since previous order reduced predicted risk | Size Variant reduced predicted risk
O06280,0.4177,41.77,Historical product return rate increased predicted risk | Previous order count increased predicted risk | Previous average order value increased predicted risk | Product price increased predicted risk | Recent order-value change increased predicted risk,5-order return-rate change reduced predicted risk | Recent average order value reduced predicted risk | 5-order value change reduced predicted risk | Account age reduced predicted risk | Orders Last 90 Days reduced predicted risk
O19447,0.305376,30.54,Historical product return rate increased predicted risk | Order value vs customer average increased predicted risk | Discount percentage increased predicted risk | Recent purchase frequency increased predicted risk | Recent order-value change increased predicted risk,Order value reduced predicted risk | Account age reduced predicted risk | Days since previous order reduced predicted risk | Recent average order value reduced predicted risk | Returns Last 5 reduced predicted risk
O09775,0.267908,26.79,Order value vs customer average increased predicted risk | Discount behaviour change increased predicted risk | Discount percentage increased predicted risk | Order value increased predicted risk | Historical average order value increased predicted risk,Historical product return rate reduced predicted risk | Days since previous order reduced predicted risk | Account age reduced predicted risk | Previous order count reduced predicted risk | Previous Avg Discount reduced predicted risk
O17143,0.253795,25.38,Product price increased predicted risk | Discount percentage increased predicted risk | Recent purchase frequency increased predicted risk | Recent average order value increased predicted risk | Discount behaviour change increased predicted risk,Order value vs customer average reduced predicted risk | 5-order value change reduced predicted risk | Historical product return rate reduced predicted risk | Historical average order value reduced predicted risk | Order value reduced predicted risk
O00182,0.260118,26.01,Historical product return rate increased predicted risk | Product price increased predicted risk | Order value increased predicted risk | Previous Avg Discount increased predicted risk | Historical average order value increased predicted risk,5-order return-rate change reduced predicted risk | Recent order-value change reduced predicted risk | Account age reduced predicted risk | Previous average order value reduced predicted risk | Days since previous order reduced predicted risk
O19688,0.383309,38.33,Historical product return rate increased predicted risk | Order value vs customer average increased predicted risk | Previous order count increased predicted risk | Historical average order value increased predicted risk | Product price increased predicted risk,Account age reduced predicted risk | 5-order value change reduced predicted risk | City tier reduced predicted risk | Returns Last 5 reduced predicted risk | Size Variant reduced predicted risk
O18283,0.061433,6.14,Days since previous order increased predicted risk | Account age increased predicted risk | Order value vs customer average increased predicted risk | Previous average order value increased predicted risk | Discount percentage increased predicted risk,Recent order-value change reduced predicted risk | Recent average order value reduced predicted risk | Historical product return rate reduced predicted risk | 5-order value change reduced predicted risk | Historical average order value reduced predicted risk
O06273,0.234062,23.41,Previous order count increased predicted risk | Order value increased predicted risk | Days since previous order increased predicted risk | Previous average order value increased predicted risk | Recent purchase frequency increased predicted risk,5-order return-rate change reduced predicted risk | Historical product return rate reduced predicted risk | Recent average order value reduced predicted risk | Orders Last 90 Days reduced predicted risk | Product price reduced predicted risk
O09854,0.362126,36.21,Historical product return rate increased predicted risk | 5-order value change increased predicted risk | Recent average order value increased predicted risk | Previous order count increased predicted risk | Size Variant increased predicted risk,Previous average order value reduced predicted risk | Recent order-value change reduced predicted risk | City tier reduced predicted risk | Product price reduced predicted risk | Returns Last 5 reduced predicted risk
O19246,0.38716,38.72,Historical product return rate increased predicted risk | Order value increased predicted risk | Order value vs customer average increased predicted risk | Account age increased predicted risk | Previous Avg Discount increased predicted risk,Recent 5-order return rate reduced predicted risk | Recent vs previous return behaviour reduced predicted risk | Recent order-value change reduced predicted risk | 5-order value change reduced predicted risk | Days since previous order reduced predicted risk
O03901,0.080234,8.02,Discount behaviour change increased predicted risk | Recent average order value increased predicted risk | Discount percentage increased predicted risk | Orders Last 90 Days increased predicted risk | Order value increased predicted risk,Historical product return rate reduced predicted risk | Recent order-value change reduced predicted risk | Previous average order value reduced predicted risk | Order value vs customer average reduced predicted risk | 5-order value change reduced predicted risk
O12100,0.509443,50.94,Historical product return rate increased predicted risk | Order value increased predicted risk | Previous average order value increased predicted risk | Size Variant increased predicted risk | Discount percentage increased predicted risk,Account age reduced predicted risk | Recent average order value reduced predicted risk | City tier reduced predicted risk | Order value vs customer average reduced predicted risk | Recent order-value change reduced predicted risk
O13505,0.126041,12.6,Recent purchase frequency increased predicted risk | Product price increased predicted risk | Account age increased predicted risk | Customer historical return rate increased predicted risk | Previous Avg Discount increased predicted risk,Order value vs customer average reduced predicted risk | Order value reduced predicted risk | Historical product return rate reduced predicted risk | Recent order-value change reduced predicted risk | 5-order value change reduced predicted risk
O03243,0.22305,22.31,5-order value change increased predicted risk | Recent purchase frequency increased predicted risk | Recent average order value increased predicted risk | Previous Avg Discount increased predicted risk | Discount percentage increased predicted risk,Historical product return rate reduced predicted risk | Order value vs customer average reduced predicted risk | Recent order-value change reduced predicted risk | Previous average order value reduced predicted risk | Account age reduced predicted risk
O02764,0.129762,12.98,Days since previous order increased predicted risk | Discount behaviour change increased predicted risk | Order value increased predicted risk | Previous Avg Discount increased predicted risk | Discount percentage increased predicted risk,5-order return-rate change reduced predicted risk | Historical product return rate reduced predicted risk | Product price reduced predicted risk | Previous average order value reduced predicted risk | 5-order value change reduced predicted risk
O00326,0.617585,61.76,Historical product return rate increased predicted risk | Discount behaviour change increased predicted risk | Discount percentage increased predicted risk | Order value increased predicted risk | Account age increased predicted risk,Product price reduced predicted risk | Previous order count reduced predicted risk | Order value vs customer average reduced predicted risk | Orders Last 90 Days reduced predicted risk | Previous Avg Discount reduced predicted risk
O18546,0.10012,10.01,Discount percentage increased predicted risk | Discount behaviour change increased predicted risk | Recent purchase frequency increased predicted risk | Previous Avg Discount increased predicted risk | Account age increased predicted risk,Historical product return rate reduced predicted risk | Order value vs customer average reduced predicted risk | Order value reduced predicted risk | Days since previous order reduced predicted risk | Recent average order value reduced predicted risk
O07808,0.215749,21.57,Historical product return rate increased predicted risk | Product price increased predicted risk | Account age increased predicted risk | Order value vs customer average increased predicted risk | City tier increased predicted risk,Recent order-value change reduced predicted risk | 5-order return-rate change reduced predicted risk | Recent average order value reduced predicted risk | Historical average order value reduced predicted risk | Previous order count reduced predicted risk
O19327,0.384815,38.48,Historical product return rate increased predicted risk | Account age increased predicted risk | Product price increased predicted risk | Days since previous order increased predicted risk | Order value vs customer average increased predicted risk,Recent order-value change reduced predicted risk | Previous order count reduced predicted risk | Recent average order value reduced predicted risk | 5-order value change reduced predicted risk | Orders Last 90 Days reduced predicted risk
O15232,0.115262,11.53,Previous average order value increased predicted risk | Product price increased predicted risk | Order value increased predicted risk | Order value vs customer average increased predicted risk | Recent average order value increased predicted risk,Historical product return rate reduced predicted risk | Account age reduced predicted risk | Recent order-value change reduced predicted risk | 5-order value change reduced predicted risk | Days since previous order reduced predicted risk
O01527,0.736337,73.63,Historical product return rate increased predicted risk | 5-order value change increased predicted risk | Order value increased predicted risk | Days since previous order increased predicted risk | Previous Avg Discount increased predicted risk,Previous average order value reduced predicted risk | Product price reduced predicted risk | Order value vs customer average reduced predicted risk | Orders Considered Last 10 reduced predicted risk | Returns Last 5 reduced predicted risk
O00580,0.533265,53.33,Historical product return rate increased predicted risk | Order value vs customer average increased predicted risk | Account age increased predicted risk | Product price increased predicted risk | Recent purchase frequency increased predicted risk,Discount percentage reduced predicted risk | City tier reduced predicted risk | Previous Avg Discount reduced predicted risk | Historical average order value reduced predicted risk | Discount behaviour change reduced predicted risk
O12849,0.179182,17.92,Historical product return rate increased predicted risk | Product price increased predicted risk | Size Variant increased predicted risk | Order value vs customer average increased predicted risk | Returns Last 5 increased predicted risk,Days since previous order reduced predicted risk | Recent order-value change reduced predicted risk | Previous average order value reduced predicted risk | Previous Avg Discount reduced predicted risk | 5-order value change reduced predicted risk
O17289,0.168653,16.87,Historical product return rate increased predicted risk | Order value vs customer average increased predicted risk | Recent vs previous return behaviour increased predicted risk | Previous Avg Discount increased predicted risk | Previous average order value increased predicted risk,Recent order-value change reduced predicted risk | Account age reduced predicted risk | Product price reduced predicted risk | Days since previous order reduced predicted risk | Previous order count reduced predicted risk
O18107,0.028289,2.83,Order value vs customer average increased predicted risk | Recent purchase frequency increased predicted risk | Previous order count increased predicted risk | 5-order return-rate ratio increased predicted risk | Product price increased predicted risk,Historical product return rate reduced predicted risk | Recent order-value change reduced predicted risk | Previous average order value reduced predicted risk | Account age reduced predicted risk | 5-order return-rate change reduced predicted risk
O02918,0.580849,58.08,5-order value change increased predicted risk | Recent average order value increased predicted risk | Discount behaviour change increased predicted risk | Previous order count increased predicted risk | Days since previous order increased predicted risk,Order value reduced predicted risk | Historical product return rate reduced predicted risk | Account age reduced predicted risk | Recent order-value change reduced predicted risk | Previous average order value reduced predicted risk
O01687,0.621729,62.17,Historical product return rate increased predicted risk | Order value increased predicted risk | Size Variant increased predicted risk | Recent average order value increased predicted risk | Recent average order value increased predicted risk,Order value vs customer average reduced predicted risk | City tier reduced predicted risk | Account age reduced predicted risk | Orders Last 90 Days reduced predicted risk | Returns Last 5 reduced predicted risk
O02643,0.185535,18.55,5-order value change increased predicted risk | Order value vs customer average increased predicted risk | Previous average order value increased predicted risk | Recent order-value change increased predicted risk | Previous Avg Discount increased predicted risk,Historical product return rate reduced predicted risk | Account age reduced predicted risk | Days since previous order reduced predicted risk | Recent average order value reduced predicted risk | Size Variant reduced predicted risk
O09124,0.060579,6.06,Days since previous order increased predicted risk | Account age increased predicted risk | Historical average order value increased predicted risk | Recent average order value increased predicted risk | Orders Considered Last 5 increased predicted risk,Historical product return rate reduced predicted risk | Order value vs customer average reduced predicted risk | Recent average order value reduced predicted risk | Order value reduced predicted risk | Discount behaviour change reduced predicted risk
O06333,0.198506,19.85,Historical product return rate increased predicted risk | Previous Avg Discount increased predicted risk | Order value vs customer average increased predicted risk | Previous order count increased predicted risk | City tier increased predicted risk,Recent order-value change reduced predicted risk | Account age reduced predicted risk | Product price reduced predicted risk | Order value reduced predicted risk | 5-order value change reduced predicted risk
O09144,0.234469,23.45,Historical product return rate increased predicted risk | Order value increased predicted risk | Previous average order value increased predicted risk | Order value vs customer average increased predicted risk | Recent purchase frequency increased predicted risk,Recent order-value change reduced predicted risk | Product price reduced predicted risk | Previous order count reduced predicted risk | Discount percentage reduced predicted risk | Discount behaviour change reduced predicted risk
O12010,0.065726,6.57,Account age increased predicted risk | Recent purchase frequency increased predicted risk | Days since previous order increased predicted risk | Orders Considered Last 5 increased predicted risk | Customer historical return rate increased predicted risk,Historical product return rate reduced predicted risk | Order value vs customer average reduced predicted risk | Historical average order value reduced predicted risk | Order value reduced predicted risk | Recent average order value reduced predicted risk
O07998,0.149482,14.95,Previous order count increased predicted risk | Account age increased predicted risk | Recent average order value increased predicted risk | Order value vs customer average increased predicted risk | Previous Avg Discount increased predicted risk,Historical product return rate reduced predicted risk | Product price reduced predicted risk | Order value reduced predicted risk | Recent order-value change reduced predicted risk | Discount percentage reduced predicted risk
O03801,0.310994,31.1,Previous order count increased predicted risk | Order value increased predicted risk | Historical product return rate increased predicted risk | Discount percentage increased predicted risk | Previous average order value increased predicted risk,5-order return-rate change reduced predicted risk | Discount behaviour change reduced predicted risk | Order value vs customer average reduced predicted risk | Recent average order value reduced predicted risk | Product price reduced predicted risk
O05939,0.302086,30.21,Previous order count increased predicted risk | Order value vs customer average increased predicted risk | Recent order-value change increased predicted risk | Product price increased predicted risk | Recent purchase frequency increased predicted risk,Historical product return rate reduced predicted risk | 5-order return-rate change reduced predicted risk | Recent average order value reduced predicted risk | Discount behaviour change reduced predicted risk | Days since previous order reduced predicted risk
O17597,0.169891,16.99,Historical product return rate increased predicted risk | Order value increased predicted risk | Size Variant increased predicted risk | Recent average order value increased predicted risk | Previous average order value increased predicted risk,5-order value change reduced predicted risk | Recent order-value change reduced predicted risk | Product price reduced predicted risk | Days since previous order reduced predicted risk | Discount percentage reduced predicted risk
O11098,0.118792,11.88,5-order value change increased predicted risk | Recent average order value increased predicted risk | Order value increased predicted risk | Previous order count increased predicted risk | Historical average order value increased predicted risk,Historical product return rate reduced predicted risk | Previous average order value reduced predicted risk | Account age reduced predicted risk | Days since previous order reduced predicted risk | 5-order return-rate change reduced predicted risk
O06285,0.059345,5.93,Account age increased predicted risk | Recent purchase frequency increased predicted risk | Recent average order value increased predicted risk | Orders Considered Last 10 increased predicted risk | Returns Last 5 increased predicted risk,Historical product return rate reduced predicted risk | Recent order-value change reduced predicted risk | Previous average order value reduced predicted risk | Recent average order value reduced predicted risk | 5-order value change reduced predicted risk
O03684,0.03061,3.06,Recent average order value increased predicted risk | Recent average order value increased predicted risk | Previous Avg Discount increased predicted risk | Recent purchase frequency increased predicted risk | Historical average order value increased predicted risk,Historical product return rate reduced predicted risk | Days since previous order reduced predicted risk | Order value vs customer average reduced predicted risk | Recent order-value change reduced predicted risk | Discount behaviour change reduced predicted risk
O05397,0.225619,22.56,Historical product return rate increased predicted risk | Category switching behaviour increased predicted risk | Product price increased predicted risk | Order value vs customer average increased predicted risk | Recent vs previous return behaviour increased predicted risk,Recent order-value change reduced predicted risk | 5-order value change reduced predicted risk | Recent 5-order return rate reduced predicted risk | Previous order count reduced predicted risk | Account age reduced predicted risk
O05172,0.149227,14.92,Recent order-value change increased predicted risk | Previous average order value increased predicted risk | Account age increased predicted risk | Previous Avg Discount increased predicted risk | Order value increased predicted risk,Historical product return rate reduced predicted risk | Recent average order value reduced predicted risk | Recent purchase frequency reduced predicted risk | Historical average order value reduced predicted risk | Discount percentage reduced predicted risk
O02992,0.509396,50.94,Historical product return rate increased predicted risk | Order value vs customer average increased predicted risk | Product price increased predicted risk | Recent average order value increased predicted risk | Recent order-value change increased predicted risk,Discount behaviour change reduced predicted risk | Account age reduced predicted risk | Order value reduced predicted risk | Historical average order value reduced predicted risk | Size Variant reduced predicted risk
O14237,0.300495,30.05,Discount percentage increased predicted risk | Product price increased predicted risk | Order value vs customer average increased predicted risk | Discount behaviour change increased predicted risk | Order value increased predicted risk,Historical product return rate reduced predicted risk | Account age reduced predicted risk | Historical average order value reduced predicted risk | Days since previous order reduced predicted risk | Previous order count reduced predicted risk
O09563,0.230248,23.02,Historical product return rate increased predicted risk | Account age increased predicted risk | Previous Avg Discount increased predicted risk | Product price increased predicted risk | Customer historical return rate increased predicted risk,5-order return-rate change reduced predicted risk | Previous average order value reduced predicted risk | Discount behaviour change reduced predicted risk | Recent average order value reduced predicted risk | Recent average order value reduced predicted risk
O06561,0.315251,31.53,Historical product return rate increased predicted risk | Historical average order value increased predicted risk | Discount percentage increased predicted risk | Recent average order value increased predicted risk | Recent purchase frequency increased predicted risk,5-order value change reduced predicted risk | Discount behaviour change reduced predicted risk | Order value vs customer average reduced predicted risk | Recent order-value change reduced predicted risk | Previous average order value reduced predicted risk
O03568,0.539499,53.95,Historical product return rate increased predicted risk | Order value increased predicted risk | Previous average order value increased predicted risk | Historical average order value increased predicted risk | Previous Avg Discount increased predicted risk,Product price reduced predicted risk | Discount percentage reduced predicted risk | City tier reduced predicted risk | Size Variant reduced predicted risk | Recent average order value reduced predicted risk
O11591,0.211982,21.2,Previous order count increased predicted risk | Account age increased predicted risk | Discount percentage increased predicted risk | Discount behaviour change increased predicted risk | Product price increased predicted risk,5-order return-rate change reduced predicted risk | Historical product return rate reduced predicted risk | Previous average order value reduced predicted risk | Recent average order value reduced predicted risk | Orders Last 90 Days reduced predicted risk
O17382,0.570683,57.07,Historical product return rate increased predicted risk | Previous order count increased predicted risk | Recent order-value change increased predicted risk | Product price increased predicted risk | Size Variant increased predicted risk,Historical average order value reduced predicted risk | Discount behaviour change reduced predicted risk | Discount percentage reduced predicted risk | Previous Avg Discount reduced predicted risk | Order value vs customer average reduced predicted risk
O14263,0.188302,18.83,Recent average order value increased predicted risk | Product price increased predicted risk | Recent purchase frequency increased predicted risk | Days since previous order increased predicted risk | Recent order-value change increased predicted risk,Historical product return rate reduced predicted risk | Account age reduced predicted risk | Discount percentage reduced predicted risk | Previous Avg Discount reduced predicted risk | Orders Last 90 Days reduced predicted risk
O08649,0.045699,4.57,Previous average order value increased predicted risk | Previous Avg Discount increased predicted risk | Recent purchase frequency increased predicted risk | Recent average order value increased predicted risk | Discount percentage increased predicted risk,Historical product return rate reduced predicted risk | Recent order-value change reduced predicted risk | Recent average order value reduced predicted risk | Days since previous order reduced predicted risk | Order value reduced predicted risk
O02719,0.161105,16.11,5-order return-rate change increased predicted risk | 5-order value change increased predicted risk | Order value vs customer average increased predicted risk | Discount percentage increased predicted risk | Recent purchase frequency increased predicted risk,Historical product return rate reduced predicted risk | Account age reduced predicted risk | Order value reduced predicted risk | Recent average order value reduced predicted risk | Days since previous order reduced predicted risk
O09632,0.351223,35.12,Historical product return rate increased predicted risk | Returns Last 5 increased predicted risk | Discount percentage increased predicted risk | Order value increased predicted risk | Recent return rate increased predicted risk,Discount behaviour change reduced predicted risk | Order value vs customer average reduced predicted risk | Recent average order value reduced predicted risk | Previous order count reduced predicted risk | Days since previous order reduced predicted risk
O18785,0.307313,30.73,Recent average order value increased predicted risk | Previous order count increased predicted risk | Recent purchase frequency increased predicted risk | Days since previous order increased predicted risk | Recent average order value increased predicted risk,Order value vs customer average reduced predicted risk | Historical product return rate reduced predicted risk | 5-order value change reduced predicted risk | Historical average order value reduced predicted risk | Order value reduced predicted risk
O10534,0.111398,11.14,Order value increased predicted risk | Order value vs customer average increased predicted risk | Discount behaviour change increased predicted risk | Previous Avg Discount increased predicted risk | Account age increased predicted risk,Historical product return rate reduced predicted risk | Previous average order value reduced predicted risk | Recent order-value change reduced predicted risk | Days since previous order reduced predicted risk | Product price reduced predicted risk
O18474,0.496965,49.7,Historical product return rate increased predicted risk | Order value increased predicted risk | Account age increased predicted risk | Size Variant increased predicted risk | Order value vs customer average increased predicted risk,Product price reduced predicted risk | Recent purchase frequency reduced predicted risk | Historical average order value reduced predicted risk | Previous Avg Discount reduced predicted risk | Returns Last 5 reduced predicted risk
O07494,0.126361,12.64,Recent average order value increased predicted risk | Order value increased predicted risk | Previous average order value increased predicted risk | Previous order count increased predicted risk | Account age increased predicted risk,Historical product return rate reduced predicted risk | Recent order-value change reduced predicted risk | 5-order return-rate change reduced predicted risk | Product price reduced predicted risk | Discount behaviour change reduced predicted risk
O12242,0.526966,52.7,Historical product return rate increased predicted risk | Order value increased predicted risk | Account age increased predicted risk | Recent order-value change increased predicted risk | Previous Avg Discount increased predicted risk,Previous order count reduced predicted risk | 5-order value change reduced predicted risk | Product price reduced predicted risk | Discount behaviour change reduced predicted risk | Recent average order value reduced predicted risk
O16233,0.200223,20.02,Historical product return rate increased predicted risk | Previous Avg Discount increased predicted risk | Previous average order value increased predicted risk | Recent purchase frequency increased predicted risk | Recent order-value change increased predicted risk,Days since previous order reduced predicted risk | Order value vs customer average reduced predicted risk | Previous order count reduced predicted risk | Recent average order value reduced predicted risk | Account age reduced predicted risk
O01799,0.346459,34.65,Historical product return rate increased predicted risk | Product price increased predicted risk | Account age increased predicted risk | Category switching behaviour increased predicted risk | Order value vs customer average increased predicted risk,Recent order-value change reduced predicted risk | 5-order value change reduced predicted risk | Previous average order value reduced predicted risk | Days since previous order reduced predicted risk | Recent average order value reduced predicted risk
O01264,0.50518,50.52,Historical product return rate increased predicted risk | Previous order count increased predicted risk | Discount percentage increased predicted risk | Order value vs customer average increased predicted risk | Order value increased predicted risk,Days since previous order reduced predicted risk | Recent order-value change reduced predicted risk | 5-order value change reduced predicted risk | Previous average order value reduced predicted risk | Recent average order value reduced predicted risk
O07163,0.080222,8.02,Account age increased predicted risk | Discount behaviour change increased predicted risk | Recent purchase frequency increased predicted risk | Recent average order value increased predicted risk | 5-order value change increased predicted risk,Historical product return rate reduced predicted risk | Recent order-value change reduced predicted risk | Order value vs customer average reduced predicted risk | Days since previous order reduced predicted risk | Orders Last 90 Days reduced predicted risk
O17413,0.152079,15.21,Discount behaviour change increased predicted risk | Days since previous order increased predicted risk | Discount percentage increased predicted risk | Product price increased predicted risk | Recent purchase frequency increased predicted risk,Historical product return rate reduced predicted risk | Order value vs customer average reduced predicted risk | Recent order-value change reduced predicted risk | Previous Avg Discount reduced predicted risk | Recent average order value reduced predicted risk
O02097,0.528023,52.8,Historical product return rate increased predicted risk | Product price increased predicted risk | Discount behaviour change increased predicted risk | City tier increased predicted risk | Recent purchase frequency increased predicted risk,Orders Last 90 Days reduced predicted risk | Recent average order value reduced predicted risk | Discount percentage reduced predicted risk | Size Variant reduced predicted risk | Historical average order value reduced predicted risk
O08888,0.055249,5.52,5-order return-rate change increased predicted risk | Order value increased predicted risk | Category switching behaviour increased predicted risk | Recent purchase frequency increased predicted risk | Historical average order value increased predicted risk,Historical product return rate reduced predicted risk | Recent order-value change reduced predicted risk | Previous average order value reduced predicted risk | Product price reduced predicted risk | Discount percentage reduced predicted risk
O01463,0.165194,16.52,Historical product return rate increased predicted risk | Product price increased predicted risk | Returns Last 5 increased predicted risk | Order value vs customer average increased predicted risk | Customer historical return rate increased predicted risk,5-order value change reduced predicted risk | Recent order-value change reduced predicted risk | Account age reduced predicted risk | Previous order count reduced predicted risk | Previous Avg Discount reduced predicted risk
O10208,0.155832,15.58,Order value vs customer average increased predicted risk | Order value increased predicted risk | Discount percentage increased predicted risk | Recent average order value increased predicted risk | Recent purchase frequency increased predicted risk,Recent order-value change reduced predicted risk | Product price reduced predicted risk | Historical product return rate reduced predicted risk | Previous average order value reduced predicted risk | Previous Avg Discount reduced predicted risk
O18566,0.464141,46.41,Historical product return rate increased predicted risk | Account age increased predicted risk | Product price increased predicted risk | Order value vs customer average increased predicted risk | Discount percentage increased predicted risk,Recent vs previous return behaviour reduced predicted risk | Discount behaviour change reduced predicted risk | Recent 5-order return rate reduced predicted risk | Recent 3-order return rate reduced predicted risk | Recent average order value reduced predicted risk
O04075,0.126306,12.63,Account age increased predicted risk | Product price increased predicted risk | Recent purchase frequency increased predicted risk | Recent average order value increased predicted risk | Orders Last 90 Days increased predicted risk,Historical product return rate reduced predicted risk | Recent average order value reduced predicted risk | Order value vs customer average reduced predicted risk | Previous average order value reduced predicted risk | 5-order value change reduced predicted risk
O17171,0.166709,16.67,Order value vs customer average increased predicted risk | Recent average order value increased predicted risk | Recent purchase frequency increased predicted risk | Recent average order value increased predicted risk | Discount behaviour change increased predicted risk,Account age reduced predicted risk | Historical product return rate reduced predicted risk | Previous average order value reduced predicted risk | Previous order count reduced predicted risk | Size Variant reduced predicted risk
O12164,0.154272,15.43,5-order value change increased predicted risk | Recent order-value change increased predicted risk | Product price increased predicted risk | Discount percentage increased predicted risk | Order value vs customer average increased predicted risk,Historical product return rate reduced predicted risk | Account age reduced predicted risk | Order value reduced predicted risk | Days since previous order reduced predicted risk | Recent average order value reduced predicted risk
O05634,0.179999,18.0,Historical product return rate increased predicted risk | Order value increased predicted risk | Recent average order value increased predicted risk | Recent order-value change increased predicted risk | City tier increased predicted risk,Account age reduced predicted risk | Product price reduced predicted risk | Recent vs previous return behaviour reduced predicted risk | 5-order return-rate change reduced predicted risk | Recent 5-order return rate reduced predicted risk
O16636,0.162606,16.26,5-order return-rate change increased predicted risk | Recent average order value increased predicted risk | Recent order-value change increased predicted risk | Discount behaviour change increased predicted risk | Account age increased predicted risk,Historical product return rate reduced predicted risk | Recent average order value reduced predicted risk | Order value reduced predicted risk | Discount percentage reduced predicted risk | Previous Avg Discount reduced predicted risk
O08633,0.228476,22.85,Days since previous order increased predicted risk | Order value vs customer average increased predicted risk | Recent average order value increased predicted risk | Recent purchase frequency increased predicted risk | City tier increased predicted risk,Recent average order value reduced predicted risk | Account age reduced predicted risk | Previous Avg Discount reduced predicted risk | Historical average order value reduced predicted risk | Order value reduced predicted risk
O09761,0.063893,6.39,Previous order count increased predicted risk | Historical average order value increased predicted risk | Account age increased predicted risk | Recent purchase frequency increased predicted risk | Previous Avg Discount increased predicted risk,Historical product return rate reduced predicted risk | Recent order-value change reduced predicted risk | 5-order value change reduced predicted risk | Recent average order value reduced predicted risk | Recent average order value reduced predicted risk
O07619,0.283246,28.32,Historical product return rate increased predicted risk | 5-order value change increased predicted risk | Previous average order value increased predicted risk | Discount percentage increased predicted risk | Discount behaviour change increased predicted risk,Order value vs customer average reduced predicted risk | Historical average order value reduced predicted risk | Order value reduced predicted risk | Days since previous order reduced predicted risk | Account age reduced predicted risk
O19612,0.610796,61.08,Historical product return rate increased predicted risk | Product price increased predicted risk | Discount percentage increased predicted risk | Order value vs customer average increased predicted risk | Returns Last 5 increased predicted risk,Account age reduced predicted risk | Recent purchase frequency reduced predicted risk | Recent average order value reduced predicted risk | Size Variant reduced predicted risk | Recent average order value reduced predicted risk
O15928,0.452983,45.3,Historical product return rate increased predicted risk | Product price increased predicted risk | Returns Last 5 increased predicted risk | Recent order-value change increased predicted risk | Order value increased predicted risk,Discount percentage reduced predicted risk | Days since previous order reduced predicted risk | Recent average order value reduced predicted risk | Discount behaviour change reduced predicted risk | City tier reduced predicted risk
O11547,0.101831,10.18,Historical product return rate increased predicted risk | Recent purchase frequency increased predicted risk | Product price increased predicted risk | Historical average order value increased predicted risk | Returns Last 5 increased predicted risk,Recent order-value change reduced predicted risk | 5-order return-rate change reduced predicted risk | Recent average order value reduced predicted risk | Days since previous order reduced predicted risk | Size Variant reduced predicted risk
O00630,0.595766,59.58,Historical product return rate increased predicted risk | Order value increased predicted risk | Size Variant increased predicted risk | Product price increased predicted risk | Discount behaviour change increased predicted risk,Historical average order value reduced predicted risk | Orders Considered Last 5 reduced predicted risk | Customer historical return rate reduced predicted risk | Days since previous order reduced predicted risk | Returns Last 5 reduced predicted risk
O16844,0.637901,63.79,Historical product return rate increased predicted risk | Order value increased predicted risk | Product price increased predicted risk | Days since previous order increased predicted risk | Order value vs customer average increased predicted risk,Discount percentage reduced predicted risk | Discount behaviour change reduced predicted risk | Historical average order value reduced predicted risk | Size Variant reduced predicted risk | Recent purchase frequency reduced predicted risk
O16147,0.419487,41.95,Historical product return rate increased predicted risk | Order value increased predicted risk | Size Variant increased predicted risk | Historical average order value increased predicted risk | Recent average order value increased predicted risk,Recent order-value change reduced predicted risk | Discount percentage reduced predicted risk | Product price reduced predicted risk | Discount behaviour change reduced predicted risk | Orders Last 90 Days reduced predicted risk
O09334,0.082624,8.26,Account age increased predicted risk | Recent purchase frequency increased predicted risk | Orders Last 90 Days increased predicted risk | Recent average order value increased predicted risk | Previous average order value increased predicted risk,Days since previous order reduced predicted risk | Order value vs customer average reduced predicted risk | Historical product return rate reduced predicted risk | Recent average order value reduced predicted risk | Discount percentage reduced predicted risk
O15124,0.196581,19.66,Days since previous order increased predicted risk | Account age increased predicted risk | Order value increased predicted risk | Discount percentage increased predicted risk | 5-order return-rate ratio increased predicted risk,Historical product return rate reduced predicted risk | Recent order-value change reduced predicted risk | Previous average order value reduced predicted risk | 5-order value change reduced predicted risk | Product price reduced predicted risk
O18308,0.305648,30.56,Previous order count increased predicted risk | Order value increased predicted risk | 5-order return-rate change increased predicted risk | Discount percentage increased predicted risk | Size Variant increased predicted risk,Recent order-value change reduced predicted risk | Historical product return rate reduced predicted risk | Recent average order value reduced predicted risk | City tier reduced predicted risk | Historical average order value reduced predicted risk
